,AirTempC,RainfallMm,WindSpeedMs,WindDirection,HumidityPercent,PressureHpa,SunshineHours,SolarRadiationMJm2,GroundTempC,HorizontalSurfaceTemp,OutdoorTemp,InclinedSurfaceTemp,ModuleTemp
0,23.1,0.0,0.8,230.0,99,1001.2,0.0,0.0,25.1,0.0,23.2,0.0,21.6
1,23.1,0.1,0.9,270.0,99,1001.2,0.0,0.0,25.0,0.0,23.1,0.0,21.1
2,23.1,0.1,0.5,290.0,99,1001.0,0.0,0.0,24.9,0.0,23.1,0.0,20.9
3,22.9,0.1,0.0,0.0,99,1000.8,0.0,0.0,24.7,0.0,23.0,0.0,20.3
4,22.7,0.1,0.1,0.0,99,1000.9,0.0,0.0,24.7,0.0,23.7,0.0,22.8
5,22.5,0.4,1.5,70.0,99,1000.9,0.0,0.0,24.6,0.0,22.8,0.0,20.4
6,22.5,0.0,1.1,50.0,99,1001.1,0.0,0.0,24.5,0.0,22.6,0.0,20.2
7,22.4,0.2,1.5,70.0,99,1001.3,0.0,0.08,24.7,3.0,22.6,3.0,20.2
8,22.5,0.1,1.5,50.0,99,1001.4,0.0,0.18,25.0,24.0,23.0,22.0,22.8
9,22.9,0.2,0.7,50.0,99,1001.5,0.0,0.26,25.9,86.0,24.6,79.0,24.4
10,23.3,0.0,1.1,70.0,99,1001.5,0.0,0.5,27.1,163.0,26.8,151.0,27.0
11,23.0,0.0,0.0,0.0,99,1001.9,0.0,0.36,25.9,66.0,27.5,59.0,25.8
12,22.8,0.0,1.0,340.0,99,1001.6,0.0,0.24,26.0,73.0,25.1,68.0,24.4
13,22.5,0.2,0.5,290.0,99,1001.2,0.0,0.46,26.3,120.0,25.3,115.0,24.4
14,23.0,0.0,0.3,0.0,99,1001.2,0.0,0.51,26.8,91.0,25.9,83.0,25.6
15,22.9,0.3,0.5,320.0,99,1000.9,0.0,0.46,26.7,80.0,25.5,72.0,25.6
16,22.7,1.0,1.1,290.0,99,1001.0,0.0,0.44,25.9,63.0,23.1,59.0,22.8
17,21.6,7.4,1.0,270.0,99,1001.4,0.0,0.25,24.5,38.0,22.9,35.0,21.8
18,20.1,2.9,1.2,290.0,99,1001.9,0.0,0.16,23.6,9.0,19.7,7.0,18.8
19,19.9,0.8,0.2,0.0,99,1002.0,0.0,0.08,23.0,0.0,20.0,0.0,18.8
20,20.1,0.0,1.1,90.0,99,1001.7,0.0,0.06,22.9,0.0,20.9,0.0,20.0
21,20.6,0.0,0.9,50.0,99,1002.1,0.0,0.0,23.1,0.0,20.7,0.0,20.0
22,20.5,0.1,0.2,0.0,99,1002.2,0.0,0.0,22.8,0.0,20.1,0.0,18.8
23,20.8,0.0,0.0,0.0,99,1002.5,0.0,0.0,23.0,0.0,19.4,0.0,17.5
24,20.4,0.0,0.7,250.0,99,1002.6,0.0,0.0,22.4,0.0,19.4,0.0,17.5
25,20.3,0.0,0.4,0.0,99,1002.6,0.0,0.0,22.4,0.0,19.4,0.0,17.6
26,20.1,0.0,0.2,0.0,99,1002.1,0.0,0.0,21.8,0.0,19.3,0.0,17.5
27,20.2,0.0,0.0,0.0,99,1002.0,0.0,0.0,22.0,0.0,19.5,0.0,17.6
28,20.5,0.0,0.6,320.0,99,1002.0,0.0,0.0,22.3,0.0,19.9,0.0,18.7
29,20.4,0.0,0.1,0.0,99,1002.2,0.0,0.0,22.4,0.0,19.9,0.0,18.7
30,20.4,0.0,0.4,0.0,99,1002.5,0.0,0.0,22.4,0.0,19.8,0.0,18.7
31,20.8,0.0,0.4,0.0,99,1002.6,0.0,0.21,23.5,66.0,21.7,62.0,20.0
32,21.7,0.0,0.0,0.0,99,1003.1,0.2,0.5,24.5,107.0,23.9,95.0,23.0
33,22.0,0.1,1.1,50.0,99,1003.3,0.0,0.66,26.2,327.0,29.0,311.0,29.7
34,24.1,0.0,1.2,70.0,97,1003.3,0.7,1.98,32.2,638.0,41.0,588.0,40.9
35,25.5,0.0,1.2,50.0,85,1003.3,0.8,2.26,34.1,668.0,34.7,672.0,38.0
36,25.8,0.0,1.2,70.0,85,1002.8,0.8,2.42,34.7,1030.0,35.9,1081.0,42.3
37,26.4,0.0,1.6,50.0,78,1002.4,0.6,2.46,34.0,653.0,37.7,693.0,43.3
38,27.3,0.0,1.2,50.0,71,1001.9,0.9,3.17,36.0,404.0,37.1,394.0,37.2
39,28.3,0.0,1.2,20.0,67,1001.5,0.9,2.82,36.0,720.0,40.4,839.0,46.5
40,28.2,0.0,1.5,20.0,69,1001.3,1.0,2.4,32.4,537.0,36.5,646.0,42.1
41,27.6,0.0,1.2,360.0,76,1001.6,1.0,1.64,29.2,336.0,33.9,425.0,36.6
42,27.3,0.0,0.8,360.0,77,1001.4,1.0,0.97,27.1,120.0,28.9,171.0,29.6
43,25.2,0.0,0.7,20.0,88,1001.7,0.4,0.24,25.7,6.0,24.6,7.0,23.0
44,24.0,0.0,0.6,50.0,96,1002.4,0.0,0.05,24.6,0.0,23.2,0.0,20.2
45,22.9,0.0,1.9,70.0,97,1002.7,0.0,0.0,23.6,0.0,21.7,0.0,20.2
46,22.5,0.0,2.0,70.0,99,1003.0,0.0,0.0,23.0,0.0,21.0,0.0,19.4
47,22.8,0.0,1.2,70.0,99,1002.9,0.0,0.0,22.7,0.0,20.6,0.0,18.8
